?p	?t	?prec	?cal	?place	?placeLabel	?coord
<http://www.wikidata.org/entity/Q178577>	1964-03-18T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1754>	"Stockholm"@en	POINT(18.068611 59.329444)
<http://www.wikidata.org/entity/Q9191>	1650-02-11T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1754>	"Stockholm"@en	POINT(18.068611 59.329444)
<http://www.wikidata.org/entity/Q9191>	1650-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1754>	"Stockholm"@en	POINT(18.068611 59.329444)
<http://www.wikidata.org/entity/Q9438>	1274-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1775258>	"Fossanova Abbey"@en	POINT(13.195656 41.438080)
<http://www.wikidata.org/entity/Q9438>	1274-03-14T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q1775258>	"Fossanova Abbey"@en	POINT(13.195656 41.438080)
<http://www.wikidata.org/entity/Q9438>	1274-03-21T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q1775258>	"Fossanova Abbey"@en	POINT(13.195656 41.438080)
<http://www.wikidata.org/entity/Q41284>	1844-07-27T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q18125>	"Manchester"@en	POINT(-2.245278 53.479445)
<http://www.wikidata.org/entity/Q538786>	2006-08-23T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q1816652>	"Nyack"@en	POINT(-73.922500 41.092500)
<http://www.wikidata.org/entity/Q438346>	1822-04-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q18383>	"Providence"@en	POINT(-71.412830 41.823990)
<http://www.wikidata.org/entity/Q692>	1616-05-03T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q189288>	"Stratford-upon-Avon"@en	POINT(-1.706389 52.192778)
<http://www.wikidata.org/entity/Q39607>	1794-05-08T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q189503>	"place de la Concorde"@en	POINT(2.321236 48.865633)
<http://www.wikidata.org/entity/Q529>	1895-09-28T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q19060369>	"Castle of Villeneuve-l'Étang"@en	POINT(2.178488 48.834994)
<http://www.wikidata.org/entity/Q8013720>	1821-10-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q19791>	"Broxbourne"@en	POINT(-0.021600 51.749500)
<http://www.wikidata.org/entity/Q202943>	0670-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q200119>	"Ujjain"@en	POINT(75.777222 23.182778)
<http://www.wikidata.org/entity/Q202943>	0665-01-01T00:00:00Z	9	<http://www.wikidata.org/entity/Q1985786>	<http://www.wikidata.org/entity/Q200119>	"Ujjain"@en	POINT(75.777222 23.182778)
<http://www.wikidata.org/entity/Q7251>	1954-06-07T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q2011497>	"Wilmslow"@en	POINT(-2.239000 53.325000)
<http://www.wikidata.org/entity/Q307>	1642-01-08T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q2031761>	"Arcetri"@en	POINT(11.251800 43.754850)
<http://www.wikidata.org/entity/Q1339>	1750-07-28T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>	<http://www.wikidata.org/entity/Q2079>	"Leipzig"@en	POINT(12.374733 51.340632)
